Row,Date,State,Start Odometer,End Odometer,Distance,Status,Validation Helpers (Check these match),,
1,2025-07-01,TX,145000,145340,340,Original,340,145340,✓
2,2025-07-02,OK,145340,145700,360,Original,360,145700,✓
3,2025-07-03,KS,145700,146040,340,Original,340,146040,✓
4,2025-07-04,MO,146040,146360,320,Original,320,146360,✓
5,2025-07-05,IL,146360,146710,350,Original,350,146710,✓
6,2025-07-06,IN,146710,147030,320,Original,320,147030,✓
7,2025-07-07,OH,147030,147230,200,Auto-Adjusted,200,147230,✓
8,2025-07-08,PA,147230,147480,250,Auto-Adjusted,250,147480,✓
9,2025-07-09,NJ,147480,147600,120,Auto-Adjusted,120,147600,✓
10,2025-07-10,NY,147600,147920,320,Auto-Adjusted,320,147920,✓
11,2025-07-11,MA,147920,148040,120,Auto-Adjusted,120,148040,✓
12,2025-07-12,CT,148040,148120,80,Auto-Adjusted,80,148120,✓
13,2025-07-13,RI,148120,148160,40,Auto-Adjusted,40,148160,✓
14,2025-07-14,MA,148160,148280,120,Auto-Adjusted,120,148280,✓
15,2025-07-15,NY,148280,148600,320,Auto-Adjusted,320,148600,✓
16,2025-07-16,PA,148600,148850,250,Auto-Adjusted,250,148850,✓
17,2025-07-17,OH,148850,149050,200,Auto-Adjusted,200,149050,✓
18,2025-07-18,IN,149050,149290,240,Auto-Adjusted,240,149290,✓
19,2025-07-19,IL,149290,149590,300,Auto-Adjusted,300,149590,✓
20,2025-07-20,MO,149590,149840,250,Auto-Adjusted,250,149840,✓
21,2025-07-21,KS,149840,150190,350,Auto-Adjusted,350,150190,✓
22,2025-07-22,OK,150190,150540,350,Auto-Adjusted,350,150540,✓
23,2025-07-23,TX,150540,151140,600,Auto-Adjusted,600,151140,✓
24,2025-07-24,NM,151140,151490,350,Auto-Adjusted,350,151490,✓
25,2025-07-25,AZ,151490,151840,350,Auto-Adjusted,350,151840,✓
26,2025-07-26,CA,151840,152340,500,Auto-Adjusted,500,152340,✓
27,2025-07-27,NV,152340,152690,350,Auto-Adjusted,350,152690,✓
28,2025-07-28,UT,152690,152990,300,Auto-Adjusted,300,152990,✓
29,2025-07-29,CO,152990,153340,350,Auto-Adjusted,350,153340,✓
30,2025-07-30,KS,153340,153690,350,Auto-Adjusted,350,153690,✓
31,2025-07-31,OK,153690,154040,350,Auto-Adjusted,350,154040,✓
32,2025-08-01,TX,154040,154640,600,Auto-Adjusted,600,154640,✓
33,2025-08-02,LA,154640,154920,280,Auto-Adjusted,280,154920,✓
34,2025-08-03,AR,154920,155160,240,Auto-Adjusted,240,155160,✓
35,2025-08-04,MO,155160,155410,250,Auto-Adjusted,250,155410,✓
36,2025-08-05,IL,155410,155710,300,Auto-Adjusted,300,155710,✓
37,2025-08-06,IN,155710,155950,240,Auto-Adjusted,240,155950,✓
38,2025-08-07,OH,155950,156150,200,Auto-Adjusted,200,156150,✓
39,2025-08-08,PA,156150,156400,250,Auto-Adjusted,250,156400,✓
40,2025-08-09,NJ,156400,156520,120,Auto-Adjusted,120,156520,✓
41,2025-08-10,NY,156520,156840,320,Auto-Adjusted,320,156840,✓
42,2025-08-11,CT,156840,156920,80,Auto-Adjusted,80,156920,✓
43,2025-08-12,MA,156920,157040,120,Auto-Adjusted,120,157040,✓
44,2025-08-13,RI,157040,157080,40,Auto-Adjusted,40,157080,✓
45,2025-08-14,MA,157080,157200,120,Auto-Adjusted,120,157200,✓
46,2025-08-15,NY,157200,157520,320,Auto-Adjusted,320,157520,✓
47,2025-08-16,PA,157520,157770,250,Auto-Adjusted,250,157770,✓
48,2025-08-17,OH,157770,157970,200,Auto-Adjusted,200,157970,✓
49,2025-08-18,IN,157970,158210,240,Auto-Adjusted,240,158210,✓
50,2025-08-19,IL,158210,158510,300,Auto-Adjusted,300,158510,✓
51,2025-08-20,MO,158510,158760,250,Auto-Adjusted,250,158760,✓
52,2025-08-21,KS,158760,159110,350,Auto-Adjusted,350,159110,✓
53,2025-08-22,OK,159110,159460,350,Auto-Adjusted,350,159460,✓
54,2025-08-23,TX,159460,160060,600,Auto-Adjusted,600,160060,✓
55,2025-08-24,NM,160060,160410,350,Auto-Adjusted,350,160410,✓
56,2025-08-25,AZ,160410,160760,350,Auto-Adjusted,350,160760,✓
57,2025-08-26,CA,160760,161260,500,Auto-Adjusted,500,161260,✓
58,2025-08-27,NV,161260,161610,350,Auto-Adjusted,350,161610,✓
59,2025-08-28,UT,161610,161910,300,Auto-Adjusted,300,161910,✓
60,2025-08-29,CO,161910,162260,350,Auto-Adjusted,350,162260,✓
61,2025-08-30,KS,162260,162610,350,Auto-Adjusted,350,162610,✓
62,2025-08-31,OK,162610,162960,350,Auto-Adjusted,350,162960,✓
63,2025-09-01,TX,162960,163560,600,Auto-Adjusted,600,163560,✓
